190324 193941.230|CONFIG|AWT-EventQueue-0|setFileHandlers|Now logging to D:\dev\Contest_3\pc2Client\bin\logs directory.
190324 193941.231|INFO|AWT-EventQueue-0|info|
190324 193941.231|INFO|AWT-EventQueue-0|info|Version 9.6.0 20190102 (Wednesday, January 2nd 2019 01:20 UTC) Java ver 1.8.0_202 build 5102 Windows 10 10.0 (x86) 
190324 193941.231|INFO|AWT-EventQueue-0|info|Login: 211 (aka team211)
190324 193941.231|INFO|AWT-EventQueue-0|startLog|Working directory is D:\dev\Contest_3\pc2Client\bin
190324 193941.232|INFO|AWT-EventQueue-0|startLog|Process id is 10844@DESKTOP-TEIUP5U
190324 193941.232|INFO|AWT-EventQueue-0|info|Contacting server at 203.162.88.119:50002 as TEAM211 @ site 0
190324 193941.233|INFO|AWT-EventQueue-0|info|sendLoginRequest start - sending from TEAM211 @ site 0
190324 193941.233|INFO|AWT-EventQueue-0|sendToLocalServer|Sending packet to server Packet[LOGIN_REQUEST] #2 TEAM211 @ site 0 -> SERVER0 @ site 0
190324 193941.233|INFO|AWT-EventQueue-0|sendToLocalServer|Sent    packet to server Packet[LOGIN_REQUEST] #2 TEAM211 @ site 0 -> SERVER0 @ site 0
190324 193941.234|INFO|AWT-EventQueue-0|info|sendLoginRequest end - packet sent.
190324 193941.234|INFO|Thread-6|run|send(Serializable)
190324 193941.499|INFO|Thread-1|receive|public void receive(SealedObject TransportPacket, ConnectionHandlerID connectionHandlerID)
190324 193941.585|INFO|Thread-7|info| receiveObject(S) start got Packet[LOGIN_SUCCESS] #34178 SERVER0 @ site 1 -> TEAM211 @ site 1
190324 193941.585|INFO|Thread-7|dumpPacket|Packet LOGIN_SUCCESS (Seq #34178, o#34178 ) recieveObject
190324 193941.585|INFO|Thread-7|dumpPacket|  From: SERVER0 @ site 1, oSERVER0 @ site 1 (99-HN-KhoaCNTT-ACM1 @ 10.99.3.97) (Contest Id: Default--3370230833862003074)
190324 193941.586|INFO|Thread-7|dumpPacket|    To: TEAM211 @ site 1
